album_id,pub_name,rank,is_ranked,score,artist,title,format,genres,label,date,website,producer
113593,The 405,11,TRUE,90,Idles,Joy as an Act of Resistance,LP,"Post-Punk, Art Punk",Partisan,2018-08-31,idlesband.com,NA
95539,The 405,10,TRUE,80,U.S. Girls,In a Poem Unlimited,LP,"Neo-Psychedelia, Psychedelic Pop, Art Pop",4AD,2018-02-16,NA,NA
102788,The 405,9,TRUE,NA,A.A.L. (Against All Logic),2012 - 2017,LP,"Deep House, Microhouse",Other People,2018-02-17,NA,NA
106836,The 405,8,TRUE,80,Kadhja Bonet,Childqueen,LP,Psychedelic Soul,Fat Possum,2018-06-08,NA,NA
100548,The 405,7,TRUE,NA,JPEGMAFIA,Veteran,LP,"Experimental Hip Hop, Glitch Hop",Deathbomb Arc,2018-01-19,NA,NA
117555,The 405,6,TRUE,90,Tim Hecker,Konoyo,LP,"Ambient, Drone",Kranky,2018-09-28,www.sunblind.net,NA
120191,The 405,5,TRUE,NA,Noname,Room 25,LP,Hip Hop,"NA",2018-09-14,NA,NA
107010,The 405,4,TRUE,90,Oneohtrix Point Never,Age Of,LP,Progressive Electronic,Warp,2018-06-01,pointnever.com,NA
110881,The 405,3,TRUE,90,Mitski,Be the Cowboy,LP,"Indie Rock, Art Pop",Dead Oceans,2018-08-17,NA,NA
113120,The 405,2,TRUE,90,SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES,LP,"Post-Industrial, Art Pop","MSMSMSM, Future Classic",2018-06-15,NA,NA
111746,The 405,1,TRUE,85,Pusha T,Daytona,LP,Hip Hop,"G.O.O.D., Def Jam",2018-05-25,pusha-t.com,Kanye West
105604,The A.V. Club,20,TRUE,NA,Let's Eat Grandma,I'm All Ears,LP,"Art Pop, Electropop, Synthpop",Transgressive,2018-06-29,NA,NA
111746,The A.V. Club,19,TRUE,NA,Pusha T,Daytona,LP,Hip Hop,"G.O.O.D., Def Jam",2018-05-25,pusha-t.com,Kanye West
119341,The A.V. Club,18,TRUE,NA,Daughters,You Won't Get What You Want,LP,"Noise Rock, Industrial Rock",Ipecac,2018-10-26,NA,NA
100230,The A.V. Club,17,TRUE,NA,Daniel Avery,Song For Alpha,LP,Ambient Techno,"Phantasy Sound, Mute",2018-04-06,NA,NA
121445,The A.V. Club,16,TRUE,NA,Georgia Anne Muldrow,Overload,LP,Neo-Soul,Brainfeeder,2018-10-26,NA,NA
121369,The A.V. Club,15,TRUE,NA,Sam Wilkes,Wilkes,LP,"NA",Leaving,2018-10-05,NA,NA
110477,The A.V. Club,14,TRUE,NA,The Beths,Future Me Hates Me,LP,Indie Rock,Carpark,2018-08-10,NA,NA
113598,The A.V. Club,13,TRUE,NA,Spiritualized,And Nothing Hurt,LP,Neo-Psychedelia,"Fat Possum, Bella Union",2018-09-07,NA,NA
103195,The A.V. Club,12,TRUE,NA,Jon Hopkins,Singularity,LP,"Microhouse, Tech House",Domino,2018-05-04,www.jonhopkins.co.uk,NA
102710,The A.V. Club,11,TRUE,NA,Janelle Monáe,Dirty Computer,LP,"Art Pop, R&B",Bad Boy,2018-04-27,www.jmonae.com,NA
110881,The A.V. Club,10,TRUE,NA,Mitski,Be the Cowboy,LP,"Indie Rock, Art Pop",Dead Oceans,2018-08-17,NA,NA
100727,The A.V. Club,9,TRUE,NA,DJ Koze,Knock Knock,LP,Deep House,Pampa,2018-05-04,NA,NA
129045,The A.V. Club,8,TRUE,NA,Earl Sweatshirt,Some Rap Songs,LP,"Experimental Hip Hop, Abstract Hip Hop","Tan Cressida, Columbia",2018-11-30,NA,NA
93029,The A.V. Club,7,TRUE,NA,Ezra Furman,Transangelic Exodus,LP,Indie Rock,Bella Union,2018-02-09,NA,NA
120717,The A.V. Club,6,TRUE,NA,Yves Tumor,Safe in the Hands of Love,LP,"Post-Industrial, Neo-Psychedelia",Warp,2018-09-05,NA,NA
109573,The A.V. Club,5,TRUE,NA,The Armed,Only Love,LP,"Noise Rock, Post-Hardcore",Throat Ruiner,2018-04-27,NA,NA
113158,The A.V. Club,4,TRUE,NA,Anna Calvi,Hunter,LP,"Art Rock, Art Pop",Domino,2018-08-31,annacalvi.com,NA
104939,The A.V. Club,3,TRUE,NA,Saba,Care for Me,LP,Hip Hop,"NA",2018-04-05,NA,NA
104255,The A.V. Club,2,TRUE,NA,Neko Case,Hell-On,LP,"Singer-Songwriter, Alt-Country",Anti-,2018-06-01,www.nekocase.com,NA
104388,The A.V. Club,1,TRUE,NA,Beach House,7,LP,"Dream Pop, Neo-Psychedelia",Sub Pop,2018-05-11,www.beachhousebaltimore.com,NA
118163,ABC News,50,TRUE,NA,Aphex Twin,Collapse EP,EP,IDM,Warp,2018-09-14,NA,NA
109813,ABC News,49,TRUE,NA,Travis Scott,ASTROWORLD,LP,Trap Rap,"Epic, Grand Hustle",2018-08-03,NA,NA
106276,ABC News,48,TRUE,NA,Mike Shinoda,Post Traumatic,LP,"Alternative R&B, Hip Hop",Warner Bros.,2018-06-15,NA,NA
102710,ABC News,47,TRUE,NA,Janelle Monáe,Dirty Computer,LP,"Art Pop, R&B",Bad Boy,2018-04-27,www.jmonae.com,NA
101278,ABC News,46,TRUE,NA,A Place To Bury Strangers,Pinned,LP,Post-Punk,Dead Oceans,2018-04-13,NA,NA
102095,ABC News,45,TRUE,NA,CZARFACE & MF DOOM,Czarface Meets Metal Face,LP,Hip Hop,Silver Age,2018-03-30,NA,NA
115402,ABC News,44,TRUE,NA,Macy Gray,Ruby,LP,"NA",Mack Avenue,2018-09-21,NA,NA
133432,ABC News,43,TRUE,NA,The Mouse Outfit,Jagged Tooth Crook,LP,"NA",TMO,2018-05-04,NA,NA
125602,ABC News,42,TRUE,NA,Poster Children,Grand Bargain!,LP,"NA","NA",2018-05-18,NA,NA
116105,ABC News,41,TRUE,NA,Mac Miller,Swimming,LP,"Pop Rap, Alternative R&B",Parlaphone,2018-08-03,macmillerswebsite.com,NA
108547,ABC News,40,TRUE,NA,Jorja Smith,Lost & Found,LP,"Neo-Soul, R&B",FAMM,2018-06-08,NA,NA
96963,ABC News,39,TRUE,NA,Lucy Dacus,Historian,LP,"Singer-Songwriter, Indie Rock",Matador,2018-03-02,lucydacus.com,NA
96250,ABC News,38,TRUE,NA,Anna Burch,Quit the Curse,LP,"Singer-Songwriter, Indie Rock",Polyvinyl,2018-02-02,NA,NA
120206,ABC News,37,TRUE,NA,Neneh Cherry,Broken Politics,LP,Art Pop,"Smalltown Supersound, Awal",2018-10-19,nenehcherry.com,Four Tet
104060,ABC News,36,TRUE,NA,Ray LaMontagne,Part of the Light,LP,"Singer-Songwriter, Folk",RCA,2018-05-18,raylamontagne.com,NA
104255,ABC News,35,TRUE,NA,Neko Case,Hell-On,LP,"Singer-Songwriter, Alt-Country",Anti-,2018-06-01,www.nekocase.com,NA
109820,ABC News,34,TRUE,NA,Florence + The Machine,High as Hope,LP,Art Pop,Virgin EMI,2018-06-29,florenceandthemachine.net,NA
110886,ABC News,33,TRUE,NA,"Now, Now",Saved,LP,"Indie Pop, Synthpop",Trans-,2018-05-18,NA,NA
102700,ABC News,32,TRUE,NA,Dr. Octagon,Moosebumps: An Exploration Into Modern Day Horripilation,LP,"Hip Hop, Abstract Hip Hop",BULK,2018-04-06,NA,NA
104482,ABC News,31,TRUE,NA,Lily Allen,No Shame,LP,"Electropop, R&B",Parlophone,2018-06-08,www.lilyallenmusic.com,NA
100833,ABC News,30,TRUE,NA,Skyzoo,In Celebration of Us,LP,Hip Hop,"First Generation Rich, EMPIRE",2018-02-02,NA,NA
112667,ABC News,29,TRUE,NA,Tanukichan,Sundays,LP,"Dream Pop, Shoegaze",Company,2018-07-13,NA,NA
